Company Name,Symbol
GGlenmark Pharmaceuticals,"1,936.55Invest"
NNippon Life India AMC,864.30Invest
MMphasis,"2,847.80Invest"
LLinde,"6,315.10Invest"
UUPL,713.70Invest
BBank of India,115.40Invest
KKalyan Jewellers,511.30Invest
IIDFC First Bank,69.69Invest
PPage Industries,"45,675.10Invest"
SSteel Authority of India,121.95Invest
UUnited Breweries,"1,872.50Invest"
AAuthum Inv & Infr,"2,982.00Invest"
FFederal Bank,196.45Invest
LLaurus Labs,877.55Invest
BBiocon,358.40Invest
GGlaxoSmithKline Pharmaceuticals,"2,787.20Invest"
BBalkrishna Industries,"2,396.00Invest"
PPremier Energies,"1,008.30Invest"
AAPL Apollo Tubes,"1,648.50Invest"
LL&T Technology Services,"4,275.90Invest"
TTata Communications,"1,609.50Invest"
VVoltas,"1,355.15Invest"
CCochin Shipyard,"1,705.15Invest"
DDalmia Bharat,"2,327.95Invest"
PP&G Hygiene and Health Care,"13,271.00Invest"
GGodrej Industries,"1,287.95Invest"
3360 One WAM,"1,079.70Invest"
HHUDCO,211.80Invest
BBank of Maharashtra,54.77Invest
CContainer Corporation of India,547.05Invest
PPetronet LNG,277.00Invest
JJubilant FoodWorks,618.55Invest
IIREDA,147.55Invest
MMCX,"7,963.00Invest"
EEndurance Technologies,"2,830.05Invest"
EEscorts Kubota,"3,576.95Invest"
CCRISIL,"5,308.70Invest"
KKaynes Technology India,"6,212.00Invest"
BBlue Star,"1,921.35Invest"
RRadico Khaitan,"2,888.25Invest"
TThermax,"3,264.90Invest"
SSJVN,99.52Invest
AAstral,"1,422.00Invest"
KKEI Industries,"3,958.40Invest"
NNarayana Hrudayalaya,"1,816.00Invest"
GGlobal Health,"1,383.15Invest"
GGujarat Fluorochemicals,"3,411.60Invest"
UUCO Bank,28.92Invest
MM&M Financial Services,263.10Invest
CCholamandalam Financial Holdings,"1,863.80Invest"
TTata Elxsi,"5,579.25Invest"
DDelhivery,473.00Invest
TTata Investment Corporation,"6,910.00Invest"
NNALCO,188.95Invest
PPoonawalla Fincorp,463.75Invest
KKPR Mill,"1,026.75Invest"
33M India,"30,500.00Invest"
AACC,"1,820.05Invest"
IIPCA Laboratories,"1,415.85Invest"
GGo Digit General Insurance,367.10Invest
CCohance Lifesciences,887.05Invest
EExide Industries,395.80Invest
GGillette,"10,314.60Invest"
AAWL Agri Business,257.95Invest
HHoneywell Automation,"37,825.00Invest"
KKPIT Technologies,"1,197.95Invest"
AApar Industries,"8,203.50Invest"
CCentral Bank of India,35.82Invest
NNLC India,234.60Invest
TThe New India Assurance Company,195.80Invest
GGland Pharma,"1,950.70Invest"
LLIC Housing Finance,562.80Invest
MMetro Brands,"1,158.80Invest"
AAster DM Healthcare,602.40Invest
GGujarat Gas,430.25Invest
KKrishna Institute of Medical Sciences,739.60Invest
SSumitomo Chemical,597.55Invest
GGarden Reach Shipbuilders,"2,552.95Invest"
AApollo Tyres,466.55Invest
AAIA Engineering,"3,082.80Invest"
IIndraprastha Gas,207.00Invest
IITI,295.70Invest
BBandhan Bank,173.25Invest
